name,lats,lons,places,types
{'Усадебный дом Григория Глебова '},{'51.5041'},{'31.3373'},{'Чернигов'},"{'Активный отдых, Архитектура, История, Улицы, площади, видовые места'}"
{'Церковь Святого Юра '},{'49.3477'},{'23.4994'},{'Дрогобыч'},{'Религия'}
{'Черниговский коллегиум '},{'51.4893'},{'31.3062'},{'Чернигов'},"{'Архитектура, Религия'}"
{'Южный вокзал '},{'49.9894'},{'36.2042'},{'Харьков'},{'Активный отдых'}
{'Тоннель Любви '},{'50.7505'},{'26.0439'},{'Клевань'},{'Архитектура'}
{'Каньон и водопады на реке Горный Тикич '},{'49.0952'},{'30.3984'},{'Умань'},{'Музеи'}
{'Аквапарк Остров Сокровищ '},{'46.3665'},{'35.3542'},{'Кирилловка'},"{'Активный отдых, Пляжи, Природа'}"
{'Подгорецкий замок '},{'49.9435'},{'24.9847'},{'Золочев'},"{'Архитектура, История'}"
{'Ресторан-пивоварня Ковчег '},{'49.5478'},{'25.5849'},{'Тернополь'},{'Монументы и памятники'}
{'Пейзажная аллея '},{'50.4564'},{'30.5122'},{'Киев'},"{'Улицы, площади, видовые места'}"
{'Горнолыжный комплекс Гвоздов '},{'50.2366'},{'30.4658'},{'Киев'},"{'Архитектура, История, Улицы, площади, видовые места'}"
{'Лычаковское кладбище '},{'49.8325'},{'24.0561'},{'Львов'},"{'Архитектура, История, Религия'}"
{'Ставка Вервольф '},{'49.3077'},{'28.4935'},{'Винница'},"{'Развлечения, Улицы, площади, видовые места'}"
{'Ландшафтный парк в селе Буки '},{'49.8395'},{'29.6539'},{'Буки'},"{'Архитектура, Производство'}"
{'Таракановский форт '},{'50.3636'},{'25.7165'},{'Дубно'},"{'История, Религия'}"
{'Волыжин лес '},{'46.5385'},{'31.7108'},{'Кинбурнская коса'},"{'Архитектура, Религия'}"
{'Геродотов лес '},{'46.5298'},{'31.6912'},{'Кинбурнская коса'},"{'Архитектура, Религия'}"
{'Дворец епископа (Музей древностей) '},{'48.6727'},{'26.5737'},{'Каменец-Подольский'},"{'Архитектура, История'}"
{'Дом полковой канцелярии Черниговского полка '},{'51.4876'},{'31.3096'},{'Чернигов'},"{'Архитектура, История, Религия'}"
{'ЗооКафе '},{'49.8384'},{'24.0269'},{'Львов'},"{'Улицы, площади, видовые места'}"
{'Киевский фуникулер '},{'50.4573'},{'30.523'},{'Киев'},"{'Архитектура, Религия'}"
{'Костёл Святой Эльжбеты '},{'49.8369'},{'24.005'},{'Львов'},{'Архитектура'}
{'Красная площадь '},{'51.491'},{'31.2986'},{'Чернигов'},"{'Архитектура, История, Религия'}"
{'Летичевский замок (Доминиканский монастырь) '},{'49.3812'},{'27.618'},{'Хмельницкий'},"{'Архитектура, Религия'}"
{'Мидийно-устричный завод '},{'46.4512'},{'31.695'},{'Кинбурнская коса'},"{'Архитектура, Религия'}"
{'Музей этнографии и художественного промысла '},{'49.841'},{'24.0271'},{'Львов'},"{'Архитектура, Музеи'}"
{'Музей-усадьба Пирогова '},{'49.2143'},{'28.4068'},{'Винница'},"{'Архитектура, История, Религия'}"
{'Национальный музей во Львове имени Андрея Шептицкого '},{'49.8431'},{'24.0283'},{'Львов'},"{'Улицы, площади, видовые места'}"
{'Памятник Веселому сумчанину '},{'50.9153'},{'34.7914'},{'Сумы'},{'Монументы и памятники'}
{'Памятник Золотое дитя '},{'46.49'},{'30.7453'},{'Одесса'},"{'Активный отдых, Транспорт'}"
{'Площадь Независимости '},{'50.9118'},{'34.8033'},{'Сумы'},{'Монументы и памятники'}
{'Ресторан Курень '},{'46.7212'},{'32.5541'},{'Херсон'},"{'Архитектура, Театры и музыка'}"
{'Скальный монастырь св.Онуфрия в селе Рукомыш '},{'49.095'},{'25.377'},{'Бучач'},"{'Архитектура, История, Религия'}"
{'Спасо-Преображенский собор '},{'50.9092'},{'34.8007'},{'Сумы'},{'Развлечения'}
{'Стадион Юбилейный '},{'50.9025'},{'34.7998'},{'Сумы'},{'Архитектура'}
{'Троицкий собор '},{'50.9173'},{'34.8164'},{'Сумы'},"{'Архитектура, Религия'}"
{'Улица Крещатик '},{'50.4462'},{'30.5214'},{'Киев'},"{'История, Улицы, площади, видовые места'}"
{'Усадьба Сухановых '},{'50.9056'},{'34.7948'},{'Сумы'},"{'Архитектура, Музеи'}"
{'Фонтан Зеркальная струя '},{'49.9987'},{'36.2346'},{'Харьков'},{'Монументы и памятники'}
{'Церковь Николая Набережного '},{'50.4675'},{'30.5232'},{'Киев'},"{'Рестораны, кафе'}"
{'Церковь Святой мученицы Валентины '},{'50.8827'},{'34.7772'},{'Сумы'},{'Развлечения'}
{'Курган Черная могила '},{'51.4874'},{'31.2939'},{'Чернигов'},"{'Архитектура, История, Религия'}"
{'Аквапарк 7 океан '},{'49.4038'},{'26.9588'},{'Хмельницкий'},"{'Архитектура, История, Музеи'}"
{'Детский парк Сказка '},{'50.915'},{'34.8088'},{'Сумы'},{'Монументы и памятники'}
{'Бердянская коса '},{'46.6567'},{'36.7913'},{'Бердянск'},{'Монументы и памятники'}
{'Киностудия Виктория '},{'50.4274'},{'30.0916'},{'Киев'},{'Музеи'}
{'Мемориально-туристический комплекс Скифский стан '},{'47.8125'},{'35.1127'},{'Запорожье'},"{'Архитектура, Религия'}"
{'Памятник Ильфу и Петрову '},{'46.4847'},{'30.7339'},{'Одесса'},{'Архитектура'}
{'Памятник Степану Бандере '},{'49.8366'},{'24.0053'},{'Львов'},{'Архитектура'}
{'Черниговский детинец '},{'51.4878'},{'31.3081'},{'Чернигов'},"{'Архитектура, История, Религия'}"
{'Черновицкий художественный музей '},{'48.2917'},{'25.9343'},{'Черновцы'},"{'Архитектура, Улицы, площади, видовые места'}"
{'Язловецкий замок '},{'48.9574'},{'25.4403'},{'Бучач'},"{'Архитектура, История'}"
{'Фельдман Экопарк '},{'50.1014'},{'36.2795'},{'Харьков'},"{'Активный отдых, Развлечения, Транспорт'}"
{'Еврейский ресторан «Под Золотой Розой» '},{'49.8412'},{'24.0346'},{'Львов'},"{'Архитектура, Религия'}"
{'Гейзер в Железном Порту '},{'46.2153'},{'32.136'},{'Железный Порт'},{'Природа'}
{'Дубенский замок '},{'50.4193'},{'25.748'},{'Дубно'},"{'Архитектура, Музеи'}"
{'Майдан Незалежности '},{'50.4504'},{'30.5247'},{'Киев'},{'Музеи'}
{'Протасов Яр '},{'50.4243'},{'30.4991'},{'Киев'},"{'Рестораны, кафе, Шоппинг'}"
{'Ресторан Эль Греко '},{'49.8405'},{'24.0311'},{'Львов'},"{'Архитектура, История, Улицы, площади, видовые места'}"
{'Аквапарк Аттика '},{'46.6279'},{'31.472'},{'Очаков'},{'Монументы и памятники'}
{'Аквапарк Коблево '},{'46.6326'},{'31.1946'},{'Коблево'},{'Развлечения'}
{'Горнолыжный комплекс Вышгора '},{'50.6029'},{'30.4884'},{'Вышгород'},{'История'}
{'Зоопарк Озера '},{'48.8944'},{'33.1814'},{'Александрия'},{'Монументы и памятники'}
{'Кафе На Здоровье '},{'49.2778'},{'23.5047'},{'Трускавец'},"{'Архитектура, Религия'}"
{'Гелон – древний город скифов '},{'50.0922'},{'34.6289'},{'Полтава'},"{'Архитектура, История, Религия'}"
{'Львовский исторический музей Королевские Залы '},{'49.8426'},{'24.0304'},{'Львов'},"{'Архитектура, История'}"
{'Харьковский зоопарк '},{'50.0025'},{'36.2255'},{'Харьков'},"{'Архитектура, Театры и музыка'}"
{'600-летний дуб '},{'49.0277'},{'37.5398'},{'Святогорск'},{'Музеи'}
{'Star Burger на Московском '},{'50.4869'},{'30.5198'},{'Киев'},"{'Архитектура, Музеи'}"
{'Star Burger на Павла Тычины '},{'50.429'},{'30.5933'},{'Киев'},"{'Архитектура, История, Религия'}"
{'Аджигольский гиперболоидный маяк '},{'46.4924'},{'32.2326'},{'Голая Пристань'},"{'Архитектура, Религия'}"
{'Азово-Сивашский национальный природный парк '},{'46.1421'},{'35.1128'},{'Геническ'},{'Музеи'}
{'Аквапарк Dream Island '},{'50.5161'},{'30.4986'},{'Киев'},{'Музеи'}
{'Аквапарк Волна '},{'50.0487'},{'36.2919'},{'Харьков'},"{'Активный отдых, Природа'}"
{'Аквапарк Лимпопо '},{'49.5423'},{'25.6098'},{'Тернополь'},{'Монументы и памятники'}
{'Аквапарк Мыс доброй Надежды '},{'46.7201'},{'36.8234'},{'Бердянск'},{'Монументы и памятники'}
{'Аквапарк Пляж '},{'49.8066'},{'23.9975'},{'Львов'},"{'Активный отдых, Развлечения, Транспорт'}"
{'Аквапарк Посейдон '},{'46.585'},{'30.9488'},{'Одесса'},{'Музеи'}
{'Аквапарк Терминал '},{'50.5276'},{'30.795'},{'Бровары'},"{'Рестораны, кафе'}"
{'Аквапарк Цунами '},{'48.9008'},{'24.6821'},{'Ивано-Франковск'},"{'Архитектура, Религия'}"
{'Актовский каньон '},{'47.7131'},{'31.4764'},{'Вознесенск'},"{'Активный отдых, Производство, Развлечения'}"
{'Александровский костёл '},{'50.4533'},{'30.5247'},{'Киев'},{'Монументы и памятники'}
{'Андреевский собор '},{'47.8262'},{'35.1989'},{'Запорожье'},{'Музеи'}
{'Арбузинский каньон '},{'47.7077'},{'31.4289'},{'Вознесенск'},"{'Активный отдых, Производство, Развлечения'}"
{'Армянская церковь '},{'48.9227'},{'24.7118'},{'Ивано-Франковск'},"{'Архитектура, Музеи, Религия'}"
{'Армянская церковь Успения Святой Богородицы '},{'46.1982'},{'30.3556'},{'Белгород-Днестровский'},"{'Музеи, Производство'}"
{'Армянский костел Непорочного Зачатия Девы Марии '},{'48.5502'},{'26.4856'},{'Каменец-Подольский'},"{'Архитектура, Религия'}"
{'Арсенал Сенявских '},{'49.8356'},{'24.0185'},{'Львов'},{'Природа'}
{'Археологический музей Одессы '},{'46.4852'},{'30.744'},{'Одесса'},"{'Природа, Развлечения'}"
{'Археологический музей трипольской культуры '},{'50.1255'},{'30.7748'},{'Триполье'},"{'Архитектура, История, Религия'}"
{'Аскольдова могила и церковь Святого Николая '},{'50.4439'},{'30.5514'},{'Киев'},"{'Архитектура, История, Религия'}"
{'Байково кладбище '},{'50.4166'},{'30.5112'},{'Киев'},"{'Архитектура, История, Музеи'}"
{'Барский замок '},{'49.0734'},{'27.6691'},{'Винница'},"{'Архитектура, История, Религия'}"
{'Башня Корнякта '},{'49.8421'},{'24.0346'},{'Львов'},"{'Архитектура, История'}"
{'Башня Рожанка '},{'48.674'},{'26.5624'},{'Каменец-Подольский'},{'Архитектура'}
{'Башня Стефана Батория '},{'48.6806'},{'26.5744'},{'Каменец-Подольский'},{'Природа'}
{'Башня Шухова '},{'48.259'},{'31.4151'},{'Кропивницкий'},{'Природа'}
{'Белое озеро '},{'51.4842'},{'25.7547'},{'Ровно'},{'Музеи'}
{'Белоцерковский краеведческий музей '},{'49.792'},{'30.1098'},{'Белая Церковь'},{'Архитектура'}
{'Бельское городище '},{'50.0917'},{'34.6417'},{'Полтава'},"{'Архитектура, История, Религия'}"
{'Бердянский дельфинарий Немо '},{'46.7219'},{'36.8225'},{'Бердянск'},{'Монументы и памятники'}
{'Бердянский маяк '},{'46.6363'},{'36.7618'},{'Бердянск'},{'Монументы и памятники'}
{'Бердянский педагогический университет '},{'46.7545'},{'36.7844'},{'Бердянск'},{'Монументы и памятники'}
{'Бережанская ратуша-музей '},{'49.4452'},{'24.9385'},{'Тернополь'},"{'Архитектура, Религия'}"
{'Бережанский замок '},{'49.4463'},{'24.945'},{'Тернополь'},"{'Архитектура, Религия'}"
{'Благовещенская церковь '},{'50.4743'},{'34.9609'},{'Тростянец (Сумская обл.)'},"{'Архитектура, Религия'}"
{'Благовещенский базар '},{'49.9933'},{'36.2197'},{'Харьков'},"{'История, Музеи'}"
{'Благовещенский собор '},{'49.9906'},{'36.2236'},{'Харьков'},"{'История, Музеи'}"
{'Блаженный камень '},{'48.6536'},{'24.3947'},{'Ивано-Франковск'},"{'Архитектура, Религия'}"
{'Богоявленский монастырь '},{'50.1031'},{'25.7276'},{'Кременец'},"{'Архитектура, История, Религия'}"
{'Борисоглебская церковь '},{'50.5956'},{'30.4971'},{'Вышгород'},{'История'}
{'Броварской краеведческий музей '},{'50.5134'},{'30.786'},{'Бровары'},"{'Рестораны, кафе'}"
{'Бродовская синагога '},{'50.0826'},{'25.1413'},{'Золочев'},{'Природа'}
{'Бродовский замок '},{'50.086'},{'25.1377'},{'Золочев'},{'Природа'}
{'Бродовский историко-краеведческий музей '},{'50.0828'},{'25.1476'},{'Золочев'},{'Природа'}
{'Буддийский монастырь Шейчен-линг '},{'47.6898'},{'37.5146'},{'Донецк'},{'Архитектура'}
{'Бункер Ворошилова '},{'49.2194'},{'28.4604'},{'Винница'},{'Музеи'}
{'Бучацкая ратуша '},{'49.0625'},{'25.3949'},{'Бучач'},"{'Архитектура, Религия'}"
{'Бучачский Василианский монастырь '},{'49.0603'},{'25.3967'},{'Бучач'},"{'Архитектура, Религия'}"
{'Бучачский замок '},{'49.0598'},{'25.3915'},{'Бучач'},"{'Архитектура, Религия'}"
{'Бушевское городище '},{'49.6439'},{'30.6019'},{'Белая Церковь'},"{'Архитектура, Религия'}"
{'Бювет Грибок '},{'49.1498'},{'23.8699'},{'Моршин'},{'Природа'}
{'Варваринская церковь '},{'48.892'},{'34.4679'},{'Днепр'},"{'Архитектура, Религия'}"
{'Василианский монастырь в Жолкве '},{'50.0574'},{'23.9696'},{'Львов'},"{'Архитектура, Религия'}"
{'Василианский монастырь Св. Онуфрия '},{'49.5514'},{'22.773'},{'Львов'},{'Музеи'}
{'Васильевская церковь '},{'50.8422'},{'24.318'},{'Луцк'},{'Музеи'}
{'Васильевская церковь '},{'51.3143'},{'28.7998'},{'Житомир'},{'Природа'}
{'Введенский монастырь '},{'50.4337'},{'30.5447'},{'Киев'},"{'Архитектура, История, Религия'}"
{'Венецианский дворик '},{'49.556'},{'25.5962'},{'Тернополь'},"{'Архитектура, Религия'}"
{'Верёвочный парк Seiklar '},{'50.4167'},{'30.6716'},{'Киев'},"{'Активный отдых, Природа'}"
{'Видовая площадка села Крещатик '},{'48.6314'},{'25.7397'},{'Черновцы'},{'Природа'}
{'Винзавод Князя Трубецкого '},{'46.792'},{'33.3633'},{'Новая Каховка'},"{'Архитектура, История, Религия'}"
{'Винзавод Коблево '},{'46.6938'},{'31.2149'},{'Коблево'},"{'Активный отдых, Развлечения'}"
{'Винницкие муры '},{'49.232'},{'28.4752'},{'Винница'},"{'Архитектура, Музеи'}"
{'Винницкий зоопарк '},{'49.2718'},{'28.4756'},{'Винница'},"{'Архитектура, Религия'}"
{'Винницкий краеведческий музей '},{'49.2326'},{'28.4761'},{'Винница'},"{'Архитектура, Музеи'}"
{'Владимирская улица '},{'50.4489'},{'30.5145'},{'Киев'},"{'Архитектура, История, Религия'}"
{'Владимирский собор '},{'50.4618'},{'30.5103'},{'Киев'},"{'Улицы, площади, видовые места'}"
{'Водолечебница Горячий источник '},{'46.1082'},{'34.8214'},{'Геническ'},{'Природа'}
{'Водонапорная башня '},{'49.2349'},{'28.4675'},{'Винница'},{'Музеи'}
{'Водопад Белые камни '},{'47.9058'},{'33.2815'},{'Кривой Рог'},{'Театры и музыка'}
{'Водяная мельница '},{'48.8595'},{'28.7208'},{'Немиров'},"{'История, Улицы, площади, видовые места'}"
{'Водяная мельница '},{'49.6397'},{'29.9444'},{'Белая Церковь'},{'Музеи'}
{'Военно-исторический музей имени А.В. Суворова '},{'46.612'},{'31.5468'},{'Очаков'},{'Природа'}
{'Военно-патриотичный центр-музей '},{'49.2243'},{'31.0409'},{'Корсунь-Шевченковский'},"{'Архитектура, Музеи'}"
{'Воздвиженская церковь '},{'49.3502'},{'23.497'},{'Дрогобыч'},{'Религия'}
{'Воздвиженская церковь '},{'49.551'},{'25.5829'},{'Тернополь'},"{'Архитектура, Религия'}"
{'Воздвиженский костел '},{'48.2944'},{'25.9366'},{'Черновцы'},"{'Улицы, площади, видовые места'}"
{'Воздвиженский костел в Городке '},{'49.7846'},{'23.6493'},{'Львов'},{'Природа'}
{'Воздвиженский костел в Подгорцах '},{'49.9396'},{'24.9839'},{'Золочев'},"{'Архитектура, История'}"
{'Вознесенская церковь '},{'50.7462'},{'33.4861'},{'Сумы'},"{'Архитектура, История'}"
{'Вознесенский костел '},{'49.806'},{'24.9032'},{'Золочев'},"{'Архитектура, История'}"
{'Вознесенский костел в Межирове '},{'49.0772'},{'28.0085'},{'Винница'},{'История'}
{'Вознесенский собор '},{'50.7391'},{'25.3199'},{'Переяслав-Хмельницкий'},"{'Производство, Экскурсии'}"
{'Вознесенский собор (Изюм) '},{'49.219'},{'37.2684'},{'Харьков'},{'Музеи'}
{'Вокзал Кривой Рог-Главный '},{'47.9123'},{'33.4516'},{'Кривой Рог'},"{'Архитектура, Религия, Улицы, площади, видовые места'}"
{'Воронцовский маяк '},{'46.4966'},{'30.7591'},{'Одесса'},"{'Транспорт, Улицы, площади, видовые места'}"
{'Воскресенская церковь '},{'49.6674'},{'25.7779'},{'Тернополь'},"{'Архитектура, Рестораны, кафе'}"
{'Воскресенский собор '},{'50.6193'},{'26.2493'},{'Ровно'},"{'Природа, Развлечения'}"
{'Выдубицкий монастырь '},{'50.4169'},{'30.5692'},{'Киев'},"{'Природа, Развлечения'}"
{'Выставка военной техники '},{'49.3084'},{'28.4941'},{'Винница'},"{'Развлечения, Улицы, площади, видовые места'}"
{'Гайдамацкий яр '},{'48.3528'},{'28.1033'},{'Могилев-Подольский'},"{'Архитектура, История, Религия'}"
{'Галицкая площадь '},{'49.8392'},{'24.0311'},{'Львов'},"{'Рестораны, кафе'}"
{'Галичский замок '},{'49.1218'},{'24.7304'},{'Ивано-Франковск'},"{'Архитектура, Музеи, Религия'}"
{'Гейзер в Счастливцево '},{'45.9918'},{'34.8507'},{'Арабатская стрелка'},{'Музеи'}
{'Генический краеведческий музей '},{'46.1687'},{'34.8118'},{'Геническ'},{'Природа'}
{'Геологический памятник Стыльское обнажение '},{'47.6721'},{'37.8045'},{'Донецк'},{'Архитектура'}
{'Геометрический центр Украины '},{'48.3498'},{'31.1666'},{'Кропивницкий'},{'Природа'}
{'Георгиевская колокольня '},{'47.9053'},{'33.3829'},{'Кривой Рог'},{'Музеи'}
{'Гидрологический заказник Молочный лиман '},{'46.5333'},{'35.3167'},{'Мелитополь'},{'Развлечения'}
{'Гидропарк '},{'50.4391'},{'30.5771'},{'Киев'},"{'Рестораны, кафе'}"
{'Главная синагога '},{'48.5087'},{'32.2682'},{'Кропивницкий'},"{'История, Природа'}"
{'Глинянские ворота '},{'49.8398'},{'24.0355'},{'Львов'},"{'Рестораны, кафе'}"
{'Голосеевский парк '},{'50.3913'},{'30.5119'},{'Киев'},"{'Архитектура, История'}"
{'Голубые озера '},{'50.3131'},{'26.7707'},{'Шепетовка'},"{'Архитектура, История'}"
{'Гончарная башня '},{'48.6753'},{'26.5765'},{'Каменец-Подольский'},"{'История, Религия'}"
{'Гора Кременец (Изюм) '},{'49.1778'},{'37.2786'},{'Харьков'},"{'Активный отдых, Природа'}"
{'Горнолыжный регион Вышков '},{'48.7283'},{'23.6434'},{'Ивано-Франковск'},{'Природа'}
{'Городище Чучин '},{'49.956'},{'31.1585'},{'Ржищев'},"{'Архитектура, Религия'}"
{'Городские ворота '},{'48.6738'},{'26.5681'},{'Каменец-Подольский'},"{'Архитектура, История'}"
{'Городское озеро '},{'48.9156'},{'24.6912'},{'Ивано-Франковск'},"{'Архитектура, Музеи'}"
{'Городской арсенал '},{'49.8413'},{'24.0353'},{'Львов'},"{'Архитектура, Религия'}"
{'Городской сад имени Шевченко '},{'50.0013'},{'36.2309'},{'Харьков'},"{'Природа, Развлечения'}"
{'Гостиница Великобритания '},{'47.9893'},{'37.8053'},{'Донецк'},{'Архитектура'}
{'Государственный историко-культурный заповедник города Дубно '},{'50.4165'},{'25.7498'},{'Дубно'},"{'Архитектура, Музеи'}"
{'Государственный музей авиации '},{'50.4071'},{'30.4595'},{'Киев'},"{'История, Музеи'}"
{'Графский театр '},{'48.5345'},{'35.8754'},{'Павлоград'},"{'Архитектура, Религия'}"
{'Греко-Софийская церковь '},{'46.6289'},{'32.6171'},{'Херсон'},"{'Архитектура, Театры и музыка'}"
{'Греческий квартал '},{'51.0486'},{'31.8859'},{'Нежин'},"{'Монументы и памятники, Музеи'}"
{'Густынский монастырь '},{'50.6362'},{'32.4737'},{'Прилуки'},"{'Архитектура, История'}"
{'Дворец Бадени '},{'48.9305'},{'25.1805'},{'Бучач'},"{'Архитектура, История'}"
{'Дворец Бандинелли '},{'49.8425'},{'24.0326'},{'Львов'},{'Архитектура'}
{'Дворец Бельских '},{'49.8351'},{'24.0205'},{'Львов'},{'Природа'}
{'Дворец Бруницких '},{'49.7198'},{'23.7456'},{'Львов'},"{'Активный отдых, Развлечения'}"
{'Дворец Витославских '},{'49.0465'},{'27.9139'},{'Винница'},"{'Архитектура, Религия'}"
{'Дворец Вишневецких '},{'49.9006'},{'25.7386'},{'Тернополь'},"{'Архитектура, История, Религия'}"
{'Дворец Ганских (Музей Бальзака) '},{'49.8026'},{'29.3226'},{'Бердичев'},"{'Архитектура, История'}"
{'Дворец Голицына '},{'50.4744'},{'34.9577'},{'Тростянец (Сумская обл.)'},"{'Архитектура, Религия'}"
{'Дворец графа Кенинга в Шаровке '},{'50.0435'},{'35.4326'},{'Харьков'},{'Архитектура'}
{'Дворец графини Щербатовой '},{'48.9672'},{'28.8425'},{'Немиров'},"{'Архитектура, История, Природа'}"
{'Дворец графов Толстых '},{'46.4879'},{'30.7372'},{'Одесса'},{'Музеи'}
{'Дворец грекокатолических митрополитов '},{'49.8369'},{'24.0095'},{'Львов'},{'Архитектура'}
{'Дворец губернаторов '},{'49.8411'},{'24.0369'},{'Львов'},"{'Рестораны, кафе'}"
{'Дворец Дедушицких '},{'49.8425'},{'24.0291'},{'Львов'},"{'Архитектура, История, Религия'}"
{'Дворец Лещинских '},{'51.0726'},{'34.9074'},{'Сумы'},"{'Активный отдых, Развлечения'}"
{'Дворец Лопухиных '},{'49.416'},{'31.2574'},{'Корсунь-Шевченковский'},"{'Архитектура, Религия'}"
{'Дворец Любомирских '},{'49.8448'},{'24.0338'},{'Львов'},"{'Архитектура, Музеи, Религия'}"
{'Дворец Новикова '},{'46.4862'},{'30.7357'},{'Одесса'},"{'История, Музеи'}"
{'Дворец Потемкина '},{'48.4609'},{'35.0712'},{'Днепр'},"{'Природа, Развлечения'}"
{'Дворец Потоцких '},{'49.8379'},{'24.0269'},{'Львов'},{'Монументы и памятники'}
{'Дворец Потоцких в Дашеве '},{'49.002'},{'29.4367'},{'Немиров'},"{'Архитектура, История, Религия'}"
{'Дворец Потоцких в Тартакове '},{'50.4652'},{'24.4029'},{'Львов'},"{'Архитектура, Религия'}"
{'Дворец Потоцких в Тульчине '},{'48.6767'},{'28.8584'},{'Немиров'},"{'Архитектура, История, Религия'}"
{'Дворец Разумовского '},{'51.3345'},{'32.8937'},{'Бахмач'},{'Музеи'}
{'Дворец Сапег '},{'49.837'},{'24.0219'},{'Львов'},{'Музеи'}
{'Дворец Семенских '},{'49.8383'},{'24.0403'},{'Львов'},"{'Архитектура, История'}"
{'Дворец спорта '},{'50.4372'},{'30.5224'},{'Киев'},{'Развлечения'}
{'Дворец спорта Шахтёр '},{'47.9962'},{'37.7998'},{'Донецк'},"{'Активный отдых, Архитектура'}"
{'Дворец Туркуллов-Комелло '},{'49.8365'},{'24.0454'},{'Львов'},"{'Архитектура, История, Религия'}"
{'Дворец Уленецких '},{'49.8387'},{'24.0334'},{'Львов'},"{'Улицы, площади, видовые места'}"
{'Дворец Чарномского (Белый дом) '},{'48.2191'},{'29.0122'},{'Могилев-Подольский'},"{'История, Религия'}"
{'Дворец Четвертинских в Комаргороде '},{'48.5363'},{'28.6147'},{'Могилев-Подольский'},"{'Архитектура, История'}"
{'Дворец Шидловских '},{'49.9826'},{'35.7582'},{'Харьков'},"{'Архитектура, История, Религия'}"
{'Девич-Гора '},{'50.1275'},{'30.7597'},{'Триполье'},"{'Активный отдых, Развлечения'}"
{'Дельфинарий Акварель '},{'46.116'},{'32.881'},{'Скадовск'},{'Природа'}
{'Деревни Разумовка и Бовтышка '},{'48.8395'},{'32.1599'},{'Кропивницкий'},"{'Архитектура, Музеи, Религия'}"
{'Деревянная церковь '},{'49.429'},{'24.5546'},{'Ивано-Франковск'},"{'История, Религия'}"
{'Дерманский монастырь '},{'50.3671'},{'26.2367'},{'Ровно'},"{'Архитектура, Музеи'}"
{'Детский городок Сказка '},{'46.9648'},{'31.9845'},{'Николаев'},"{'Архитектура, Религия'}"
{'Диканьский краеведческий музей '},{'49.8265'},{'34.528'},{'Полтава'},{'Музеи'}
{'Димитриевская церковь '},{'49.9895'},{'36.2146'},{'Харьков'},"{'Архитектура, История, Религия'}"
{'Диорама Битва за Днепр '},{'48.4563'},{'35.0643'},{'Днепр'},"{'Природа, Развлечения'}"
{'ДнепроГЭС '},{'47.8667'},{'35.0903'},{'Запорожье'},{'Архитектура'}
{'Днепропетровская детская железная дорога '},{'48.47'},{'35.0316'},{'Днепр'},{'Архитектура'}
{'Днепропетровский аквариум пресноводных рыб '},{'48.4605'},{'35.0813'},{'Днепр'},"{'История, Музеи'}"
{'Днепропетровский исторический музей '},{'48.4559'},{'35.0639'},{'Днепр'},"{'Природа, Развлечения'}"
{'Днепропетровский оперный театр '},{'48.4701'},{'35.0381'},{'Днепр'},{'Архитектура'}
{'Днепропетровский театр русской драмы '},{'48.4706'},{'35.0332'},{'Днепр'},{'Архитектура'}
{'Днепропетровский цирк '},{'48.4683'},{'35.0537'},{'Днепр'},{'Музеи'}
{'Днестр Круиз '},{'48.8028'},{'25.2936'},{'Ивано-Франковск'},"{'Архитектура, Религия'}"
{'Днестровский каньон '},{'48.8292'},{'25.3286'},{'Борщев'},{'Природа'}
{'Долина диких тюльпанов '},{'49.4677'},{'23.9639'},{'Стрый'},{'Архитектура'}
{'Дом Бальфура '},{'47.9664'},{'37.8104'},{'Донецк'},"{'Архитектура, История'}"
{'Дом Горелика '},{'47.9936'},{'37.7989'},{'Донецк'},"{'Активный отдых, Архитектура'}"
{'Дом инвалидов '},{'49.8499'},{'24.0142'},{'Львов'},"{'Архитектура, Театры и музыка'}"
{'Дом клоунов '},{'46.4902'},{'30.7224'},{'Одесса'},{'Монументы и памятники'}
{'Дом Кочубея '},{'51.3365'},{'32.878'},{'Бахмач'},{'Музеи'}
{'Дом Кроля '},{'47.9924'},{'37.8058'},{'Донецк'},"{'Активный отдых, Архитектура'}"
{'Дом с химерами '},{'50.0081'},{'36.2428'},{'Харьков'},"{'Улицы, площади, видовые места'}"
{'Дом Таубина '},{'49.7967'},{'30.1101'},{'Белая Церковь'},"{'Архитектура, Религия'}"
{'Дом Хренникова '},{'48.4652'},{'35.0437'},{'Днепр'},"{'Архитектура, Театры и музыка'}"
{'Дом Черная каменица '},{'49.8425'},{'24.0328'},{'Львов'},{'Архитектура'}
{'Дом Юзов '},{'47.9737'},{'37.8096'},{'Донецк'},"{'Архитектура, История'}"
{'Дом-музей А.П.Чехова '},{'50.9343'},{'34.8292'},{'Сумы'},"{'Улицы, площади, видовые места'}"
{'Дом-музей И.Е.Репина в Чугуеве '},{'49.8398'},{'36.6883'},{'Харьков'},"{'Активный отдых, Развлечения'}"
{'Дом-музей Яворницкого '},{'48.4606'},{'35.0686'},{'Днепр'},"{'Улицы, площади, видовые места'}"
{'Доминиканский костел '},{'48.673'},{'28.8551'},{'Немиров'},"{'Архитектура, Природа'}"
{'Доминиканский костел '},{'49.5532'},{'25.5916'},{'Тернополь'},"{'Архитектура, Религия'}"
{'Доминиканский монастырь в Жолкве '},{'50.0569'},{'23.9743'},{'Львов'},"{'Архитектура, История'}"
